system,completeness,lognr,noise,algo,metric,value,dimension,experiment
1_5,1,1,0,alpha,Alignment Based Fitness,0.337023961999944,Fitness,1B
1_5,1,1,0,alpha,Alignment Based Generalization,0.999976546518474,Generalization,1B
1_5,1,1,0,alpha,Alignment Based Precision,0.833333333333333,Precision,1B
1_5,1,1,0,alpha,Best Align,0.425196169933285,Precision,1B
1_5,1,1,0,alpha,Behavioral Generalization,0.454617786592966,Generalization,1B
1_5,1,1,0,alpha,Behavioral Precision,0.245930963141887,Precision,1B
1_5,1,1,0,alpha,Behavioral Recall,0.741886421601891,Fitness,1B
1_5,1,1,0,alpha,One Align,0.357142857142857,Precision,1B
1_5,1,1,0,alpha,Token Based Fitness,0.779646039009094,Fitness,1B
1_5,1,1,0,flower,Alignment Based Fitness,1,Fitness,1B
1_5,1,1,0,flower,Alignment Based Generalization,0.999998420213682,Generalization,1B
1_5,1,1,0,flower,Behavioral Generalization,1,Generalization,1B
1_5,1,1,0,flower,Behavioral Precision,0.0796533740238879,Precision,1B
1_5,1,1,0,flower,Behavioral Recall,1,Fitness,1B
1_5,1,1,0,flower,One Align,0.117626379807354,Precision,1B
1_5,1,1,0,flower,Token Based Fitness,1,Fitness,1B
1_5,1,1,0,heuristics,Alignment Based Fitness,0.890680965969224,Fitness,1B
1_5,1,1,0,heuristics,Alignment Based Generalization,0.999257299248867,Generalization,1B
1_5,1,1,0,heuristics,Alignment Based Precision,0.671877802517258,Precision,1B
1_5,1,1,0,heuristics,Behavioral Generalization,0.671047282529715,Generalization,1B
1_5,1,1,0,heuristics,Behavioral Precision,0.355629741042497,Precision,1B
1_5,1,1,0,heuristics,Behavioral Recall,0.890118632566628,Fitness,1B
1_5,1,1,0,heuristics,One Align,0.702662207678569,Precision,1B
1_5,1,1,0,ILP,Alignment Based Generalization,0,Generalization,1B
1_5,1,1,0,ILP,Behavioral Generalization,0.638491326641626,Generalization,1B
1_5,1,1,0,ILP,Behavioral Precision,0.3290207370397,Precision,1B
1_5,1,1,0,ILP,Behavioral Recall,1,Fitness,1B
1_5,1,1,0,ILP,One Align,0.500111177785416,Precision,1B
1_5,1,1,0,ILP,Token Based Fitness,0.991423845291138,Fitness,1B
1_5,1,1,0,inductive,Alignment Based Generalization,0,Generalization,1B
1_5,1,1,0,inductive,Alignment Based Precision,0,Precision,1B
1_5,1,1,0,inductive,Behavioral Generalization,0.639326459330123,Generalization,1B
1_5,1,1,0,inductive,Behavioral Precision,0.232710899014843,Precision,1B
1_5,1,1,0,inductive,Behavioral Recall,0.7658703231392,Fitness,1B
1_5,1,1,0,inductive,Token Based Fitness,0.8487661480903625,Fitness,1B
1_5,1,1,1,alpha,Alignment Based Fitness,0.130252862340077,Fitness,1B
1_5,1,1,1,alpha,Alignment Based Generalization,0.999916227013623,Generalization,1B
1_5,1,1,1,alpha,Alignment Based Precision,1,Precision,1B
1_5,1,1,1,alpha,Best Align,0.666666666666667,Precision,1B
1_5,1,1,1,alpha,Behavioral Generalization,0.13437497691243,Generalization,1B
1_5,1,1,1,alpha,Behavioral Precision,1,Precision,1B
1_5,1,1,1,alpha,Behavioral Recall,0.0443066016836509,Fitness,1B
1_5,1,1,1,alpha,One Align,1,Precision,1B
